Com1_Lat,Com1_Long,Com2_Lat,Com2_Long,Com3_Lat,Com3_Long,Com4_Lat,Com4_Long,Com5_Lat,Com5_Long,Com6_Lat,Com6_Long
38.98279,-76.93775,38.9884,-76.93501,38.99838,-76.93198,39.02495,-76.92634,38.9987,-76.91636,38.97109,-76.93805
38.98192,-76.93784,38.98565,-76.9368,38.99794,-76.9321,39.02158,-76.93099,38.99769,-76.91639,38.96752,-76.93855
38.98176,-76.93895,38.98509,-76.93298,38.99791,-76.93186,39.0168,-76.93208,38.99748,-76.912,38.96702,-76.93463
38.98097,-76.93891,38.98717,-76.93328,38.99686,-76.93199,39.01618,-76.93037,38.99697,-76.91186,38.96364,-76.93529
38.98102,-76.93929,,,38.99691,-73.93246,39.01499,-76.92865,38.99665,-76.90997,38.96346,-76.93593
38.98011,-76.93942,,,38.99563,-76.93258,39.01179,-76.92939,38.99712,-76.90982,38.96274,-76.93607
38.97984,-76.93929,,,38.9955,-76.93217,39.01181,-76.92974,38.99698,-76.90914,38.96253,-76.93496
38.9796,-76.93785,,,38.99443,-76.93253,39.0056,-76.93112,38.99666,-76.90928,38.96191,-76.93513
38.97671,-76.93783,,,38.99469,-76.93361,39.0054,-76.93027,38.99647,-76.90811,38.96189,-76.93449
38.97667,-76.93724,,,38.99313,-76.9344,39.0046,-76.9305,38.9961,-76.90823,38.96252,-76.93418
38.9785,-76.93723,,,38.9929,-76.93343,39.00466,-76.93107,38.99582,-76.90639,38.96382,-76.93466
38.97856,-76.93621,,,38.99075,-76.93446,39.00255,-76.93165,38.99619,-76.90618,38.96767,-76.93275
38.979115,-76.93619,,,38.99087,-76.93389,39.00257,-76.93066,38.99605,-76.90495,38.9677,-76.9286
38.97952,-76.93746,,,38.99051,-76.93276,39.00393,-76.93037,38.99545,-76.90504,38.9693,-76.92766
38.98013,-76.93738,,,38.99128,-76.9322,39.00379,-76.92969,38.99518,-76.90207,38.97039,-76.93164
38.97999,-76.93631,,,38.99161,-76.93264,39.00466,-76.92942,38.99625,-76.90157,38.96737,-76.93306
38.98048,-76.93613,,,38.99214,-76.93218,39.00466,-76.92905,38.9959,-76.88985,38.96751,-76.93462
38.98064,-76.93673,,,38.99233,-76.93251,39.00547,-76.92887,39.00029,-76.89329,38.97053,-76.93417
38.98119,-76.93651,,,38.99251,-76.9322,39.00562,-76.92914,39.00063,-76.89668,38.97074,-76.93654
38.98137,-76.93723,,,38.9925,-76.93168,39.00749,-76.92855,38.99732,-76.89926,38.971,-76.93658
38.98203,-76.93702,,,38.99344,-76.93155,39.0756,-76.92896,38.99733,-76.90149,,
38.98204,-76.93694,,,38.99349,-76.93183,39.00942,-76.92832,38.99648,-76.90165,,
38.98281,-76.93674,,,38.99562,-76.93138,39.00935,-76.92759,38.99726,-76.90623,,
,,,,38.99569,-76.93012,39.01125,-76.92721,39.00066,-76.90407,,
,,,,38.99646,-76.93004,39.01139,-76.92786,39.00133,-76.91019,,
,,,,38.99667,-76.93119,39.01589,-76.9267,39.00023,-76.91135,,
,,,,38.99799,-76.93091,39.02052,-76.92562,39.0002,-76.9125,,
,,,,38.99804,-76.93143,39.0271,-76.92489,39.0097,-76.9119,,
,,,,38.99832,-76.93137,39.02155,-76.92422,39.00134,-76.91294,,
,,,,38.99895,-76.93127,39.02211,-76.92393,38.99954,-76.91491,,
,,,,38.99892,-76.9306,39.02232,-76.92476,38.99944,-76.91642,,
,,,,38.99921,-76.93064,39.02376,-76.92358,,,,
,,,,38.99927,-76.93016,39.02392,-76.92409,,,,
,,,,39.00094,-76.92949,39.02311,-76.9247,,,,
,,,,38.00128,-76.93097,39.02336,-76.92527,,,,
,,,,39.00072,-76.93219,39.02215,-76.92619,,,,
,,,,38.99861,-76.93211,39.02302,-76.92824,,,,
